Rank,AllPos,AllNeg,TopPos,TopNeg,PropAllPos,PropTopPos,Movie,Release,Rev_10M,year,AllFresh
24,213,9,39,0,0.9595,1,The Lord of the Rings: The Two Towers (New Line),18-Dec-02,34.18,2002,1
25,154,90,20,27,0.6311,0.4255,Spider-Man 3 (Sony / Columbia),4-May-07,33.65,2007,1
26,134,127,23,16,0.5134,0.5897,Alice in Wonderland (2010) (Disney),5-Mar-10,33.42,2010,0
27,40,16,9,4,0.7143,0.6923,Forrest Gump (Paramount),6-Jul-94,32.97,1994,1
28,84,122,19,22,0.4078,0.4634,Shrek the Third (Paramount / DreamWorks),18-May-07,32.27,2007,0
29,125,95,29,13,0.5682,0.6905,Transformers (Paramount / DreamWorks),3-Jul-07,31.92,2007,0
30,223,15,40,4,0.937,0.9091,Iron Man (Paramount),2-May-08,31.84,2008,1
31,147,38,30,11,0.7946,0.7317,Harry Potter and the Sorcerer's Stone (Warner Bros.),16-Nov-01,31.76,2001,1
32,198,57,27,16,0.7765,0.6279,Indiana Jones and the Kingdom of the Crystal Skull (Paramount),22-May-08,31.71,2008,1
33,192,17,36,3,0.9187,0.9231,The Lord of the Rings: The Fellowship of the Ring (New Line),19-Dec-01,31.48,2001,1
34,200,68,26,14,0.7463,0.65,Iron Man 2 (Paramount),7-May-10,31.21,2010,1
35,145,73,17,24,0.6651,0.4146,Star Wars: Episode II - Attack of the Clones (Fox),16-May-02,31.07,2002,1
36,98,121,14,28,0.4475,0.3333,Pirates of the Caribbean: At World's End (Disney),25-May-07,30.94,2007,0
37,52,14,15,4,0.7879,0.7895,Return of the Jedi (Fox),25-May-83,30.93,1983,1
38,34,22,11,6,0.6071,0.6471,Independence Day (Fox),3-Jul-96,30.62,1996,1
39,161,44,28,13,0.7854,0.6829,Pirates of the Caribbean: The Curse of the Black Pearl (Disney),9-Jul-03,30.54,2003,1
40,215,42,39,5,0.8366,0.8864,Harry Potter and the Half-Blood Prince (Warner Bros.),15-Jul-09,30.2,2009,1
41,114,119,24,14,0.4893,0.6316,The Twilight Saga: Eclipse (Summit),30-Jun-10,30.05,2010,0
42,59,159,18,26,0.2706,0.4091,The Twilight Saga: New Moon (Summit),20-Nov-09,29.66,2009,0
43,196,52,30,11,0.7903,0.7317,Harry Potter and the Deathly Hallows: Part 1 (Warner Bros.),19-Nov-10,29.6,2010,1
44,114,20,25,7,0.8507,0.7813,The Sixth Sense (Disney),6-Aug-99,29.35,1999,1
